timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt
2022-02-03T19:31:01Z,bikuqo,AWS,us-east-1,AWS,eu-west-3,101187584.0,81.984
2022-02-03T19:31:01Z,bikuqo,AWS,us-east-1,AWS,eu-west-2,110755840.0,75.854
2022-02-03T19:31:07Z,bikuqo,GCP,asia-east2,AWS,eu-west-3,35913728.0,232.673
2022-02-03T19:31:07Z,bikuqo,GCP,asia-east1,AWS,us-east-1,46399488.0,182.663
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-2,GCP,asia-east2,107872256.0,238.149
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-3,GCP,asia-east2,116785152.0,232.484
2022-02-03T19:31:07Z,bikuqo,GCP,asia-east1,AWS,eu-west-1,33423360.0,254.77
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-3,AWS,us-east-1,103153664.0,81.996
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-1,AWS,us-east-1,125960192.0,65.668
2022-02-03T19:31:06Z,bikuqo,GCP,asia-east2,AWS,us-east-1,43515904.0,194.553
2022-02-03T19:31:07Z,bikuqo,GCP,asia-east1,AWS,eu-west-3,33423360.0,253.091
2022-02-03T19:31:07Z,bikuqo,GCP,asia-east1,AWS,eu-west-2,33816576.0,244.968
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-3,GCP,asia-east1,99745792.0,253.223
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-2,AWS,us-east-1,110886912.0,75.78
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-2,GCP,asia-east1,101187584.0,245.388
2022-02-03T19:31:01Z,bikuqo,AWS,us-east-1,AWS,eu-west-1,128974848.0,65.646
2022-02-03T19:31:07Z,bikuqo,GCP,asia-east2,AWS,eu-west-1,34471936.0,255.902
2022-02-03T19:31:01Z,bikuqo,AWS,us-east-1,GCP,asia-east2,133038080.0,194.539
2022-02-03T19:31:00Z,bikuqo,AWS,eu-west-1,GCP,asia-east1,102236160.0,254.731
2022-02-03T19:56:53Z,nehepi,GCP,asia-northeast1,GCP,europe-north1,103022592.0,251.462
2022-02-03T19:56:53Z,nehepi,GCP,asia-northeast3,GCP,australia-southeast2,166330368.0,159.582
2022-02-03T19:56:53Z,nehepi,GCP,australia-southeast2,GCP,asia-northeast1,195166208.0,133.459
2022-02-03T19:56:47Z,nehepi,GCP,europe-north1,GCP,asia-northeast1,102236160.0,251.426
2022-02-03T19:56:47Z,nehepi,GCP,europe-north1,GCP,australia-southeast2,50069504.0,306.879
2022-02-03T19:56:53Z,nehepi,GCP,asia-northeast3,GCP,europe-north1,91881472.0,276.38
2022-02-03T19:56:53Z,nehepi,GCP,australia-southeast2,GCP,europe-north1,77070336.0,306.659
2022-02-03T19:56:52Z,nehepi,GCP,asia-northeast2,GCP,australia-southeast2,193724416.0,140.148
2022-02-03T19:56:52Z,nehepi,GCP,asia-northeast2,GCP,europe-north1,98304000.0,257.961
2022-02-03T19:56:53Z,nehepi,GCP,australia-southeast2,GCP,asia-northeast3,162791424.0,159.494
2022-02-03T19:56:52Z,nehepi,GCP,asia-northeast1,GCP,australia-southeast2,198705152.0,133.439
2022-02-03T19:56:47Z,nehepi,GCP,europe-north1,GCP,asia-northeast3,92405760.0,276.427
2022-02-03T19:56:47Z,nehepi,GCP,europe-north1,GCP,asia-northeast2,99221504.0,256.926
2022-02-03T19:56:53Z,nehepi,GCP,australia-southeast2,GCP,asia-northeast2,187957248.0,140.152
2022-02-03T20:03:44Z,nehepi,GCP,asia-south1,GCP,us-west3,112197632.0,236.334
2022-02-03T20:03:51Z,nehepi,GCP,asia-south1,GCP,us-west2,119013376.0,223.577
2022-02-03T20:03:49Z,nehepi,GCP,us-west2,GCP,asia-south1,116260864.0,223.988
2022-02-03T20:03:48Z,nehepi,GCP,us-east4,GCP,asia-south1,122290176.0,209.906
2022-02-03T20:03:49Z,nehepi,GCP,us-west1,GCP,asia-south1,122028032.0,215.26
2022-02-03T20:03:52Z,nehepi,GCP,asia-south1,GCP,us-west4,117047296.0,230.91
2022-02-03T20:03:48Z,nehepi,GCP,us-west3,GCP,asia-south1,113639424.0,236.484
